index,x,y,z
46,0.9026625599050213,2.082787280324694,-0.22944063009894103
47,0.9122205756615334,2.2356830219882986,-0.2472899653173746
48,0.9107194167096134,2.349762275974758,-0.2556636943515275
49,0.8982243518606704,2.4239005495330157,-0.25611648481668164
50,0.8752001369960896,2.458454468533175,-0.2510583082446655
51,0.8424548890016453,2.455093437263982,-0.2434483399088872
52,0.801049108009576,2.416561298096305,-0.23638337756384858
53,0.7521795689153497,2.346389013964559,-0.2326206695557134
54,0.6970550405833581,2.2485842376705127,-0.23409854018090834
55,0.6367761550447031,2.127319355878683,-0.24152186310805318
56,0.5722350570572983,1.9866501565068344,-0.25407050924827823
57,0.5040438679116995,1.8302866650035745,-0.2692889091564044
58,0.4324994042034586,1.661441872358306,-0.2831750830782991
59,0.3575838559076869,1.4827742607019765,-0.29048115877895786
60,0.2789990497033189,1.2964272482095254,-0.28519436846043084
61,0.1962223829200511,1.104160213426382,-0.26115467100394035
62,0.10857961822600319,0.9075471127824929,-0.21274129023710528
63,0.015317000371768325,0.7082088675914833,-0.13555224680434044
64,-0.08432651432408625,0.5080371544152598,-0.027001558370285367
65,-0.19105874138698117,0.30936613560162207,0.11323378027627992
66,-0.30547592030951715,0.11505464224834105,0.28297187209500435
67,-0.4280064559594955,-0.07154580413582035,0.47751272146264007
68,-0.558846747730825,-0.24674450846592103,0.6898657132250106
69,-0.6978842123564734,-0.4067731720139231,0.9111925128986685
70,-0.8446055392879098,-0.5481245516417552,1.1314255805183886
71,-0.9979983922875502,-0.6679218693509851,1.3400045902386015
72,-1.1564575921075988,-0.7642637079611555,1.5266624812909744
73,-1.3177173339848978,-0.8364919318620893,1.6821913491262102
74,-1.478831635451265,-0.8853334859579396,1.7991262233390657
75,-1.6362232279431366,-0.9128887178852415,1.8722906602055163
76,-1.7858151846068229,-0.9224529712922207,1.8991686965799113
77,-1.9232448251702694,-0.9181879558866297,1.880079256173469
78,-2.0441519231789576,-0.9046776467335336,1.8181474437245913
79,-2.1445105581714743,-0.8864232000970503,1.7190821173661988
80,-2.2209726823203755,-0.867342569461391,1.590780009320474
81,-2.2711782651632766,-0.8503410693070843,1.4427862309124482
82,-2.2939903642293538,-0.8370087613693868,1.2856489592077949
83,-2.28962411415429,-0.8274855893041578,1.130210244044934
84,-2.2596441059740333,-0.8205084470977059,0.9868776263058837
85,-2.2068295960097255,-0.8136295774769877,0.8649229200247508
86,-2.1349180423650136,-0.8035735699024341,0.7718541827790942
87,-2.048256984766202,-0.7866793233190236,0.712900999744866
88,-1.951406209285862,-0.7593687114175761,0.6906514723975382
89,-1.848735414562849,-0.71858163425796,0.7048672202075638
90,-1.744064947480268,-0.6621281623828829,0.7524924151058329
91,-1.6403903151553116,-0.5889234672505049,0.8278610791370548
92,-1.5397155426677844,-0.4990896176739674,0.9230913650052771
93,-1.4430081354605557,-0.39392801726737614,1.0286429630049072
94,-1.3502686096125354,-0.2757793577661695,1.1340048387364248
95,-1.260694159298476,-0.1477992682349388,1.228463859680062
96,-1.1729016644244807,-0.01368420038548119,1.3019089484926454
97,-1.0851702016295568,0.12262231507436351,1.3456107378501647
98,-0.995665407463054,0.25721135435308234,1.3529222623737613
99,-0.9026146121735038,0.38646050846864477,1.3198473582918382
100,-0.8044138520702845,0.5072397872712728,1.2454239322131921
101,-0.699667818347947,0.6170670759584377,1.1318832909631558
102,-0.5871768455398223,0.714213852025382,0.9845577713511493
103,-0.46589931507175364,0.7977637848145679,0.811525890292373
104,-0.3349231033115014,0.8676321521108494,0.6230116710700707
105,-0.1934788464010613,0.9245474519261936,0.43057583396118493
106,-0.041014930298524,0.9699998350978963,0.24616586719577227
107,0.12266076858706568,1.0061555144832435,0.0811129253721569
108,0.2971888063914966,1.0357354098227964,-0.05482330730178859
109,0.4814473907186591,1.0618568819039504,-0.15425906030704772
110,0.6733701597280559,1.0878407506885732,-0.21274776454763691
111,0.8698372774592803,1.1169918719099698,-0.22903555278550064
112,1.06668286483906,1.152362472838936,-0.20498235773409684
113,1.2588381628727656,1.196522988567696,-0.14516516932799317
114,1.4406133050722851,1.2513567595438684,-0.05622258640943562
115,1.606092389691643,1.3179048816642267,0.05396674027738727
116,1.7495992398546543,1.3962774550511066,0.17716016179917887
117,1.8661766918069809,1.485642001874683,0.3055620350371523
118,1.95202205762112,1.584287910939308,0.4324751799777702
119,2.004825082774973,1.6897581982326548,0.5527183081645598
120,2.0239715261781392,1.7990291716318272,0.6627839878923157
121,2.010593763251918,1.9087164200952527,0.7607480822970182
122,1.9674653677554912,2.0152845018268204,0.845980580236958
123,1.8987595629620675,2.1152435733342423,0.9187318063724431
124,1.8096981606804297,2.205321510941059,0.9796789148596056
125,1.706126033756885,2.282609992897479,1.0295134280149436
126,1.5940511319403756,2.344684236631095,1.0686333447463496
127,1.4791865018584354,2.38970408572009,1.0969768239595488
128,1.3665284981237147,2.4164969205339504,1.1140092017646221
129,1.2600021082487218,2.424624571308777,1.118845780606699
130,1.1622004042640453,2.4144269841223513,1.1104749213446912
131,1.0742345903896642,2.3870343541266723,1.0880302649528428
132,0.9957101295249828,2.344336175842892,1.0510608908462358
133,0.924832136254085,2.2888980422052905,0.9997491494417095
134,0.8586328428325377,2.2238219639722008,0.9350368678917071
135,0.7933062874413928,2.1525535082853766,0.8586398806196224
136,0.7246228218980609,2.078646198235329,0.7729423619701891
137,0.6483883947190019,2.005501973945295,0.6807877973407667
138,0.5609067697771698,1.9361123014391224,0.5851942003443278
139,0.45940467576068134,1.8728235138524338,0.4890363087438871
140,0.3423767007716139,1.817154706004424,0.3947406636814895
141,0.20981760346444736,1.7696861606078216,0.30404140057875356
142,0.06332053678684807,1.7300344690200398,0.21783246948107496
143,-0.09397265804389122,1.6969192784947578,0.13613876068173722
144,-0.2575595973648206,1.6683164925140874,0.05821000877173949
145,-0.4218899745039194,1.6416831212872067,-0.017280916673052718
146,-0.5807662906602588,1.6142295477788628,-0.09196820943913658
147,-0.7277978350671571,1.5832062450388389,-0.16749835784638578
148,-0.8568571589011362,1.54617139822145,-0.24525813091305473
149,-0.962501131327598,1.5012051875502146,-0.32616917178215066
150,-1.0403147766021037,1.4470454559468182,-0.4105754077841433
151,-1.0871539888884927,1.3831294403748156,-0.4982359173242825
152,-1.1012749176015646,1.3095405760407826,-0.5884095174111698
153,-1.0823491158358582,1.2268739717021808,-0.6800030540836828
154,-1.031383850821279,1.136047598426817,-0.7717425946129018
155,-0.9505667149020697,1.0380924159433114,-0.8623243682386672
156,-0.8430679195048848,0.9339582794132352,-0.9505092430933196
157,-0.7128236060604787,0.8243696947444988,-1.035140392603486
158,-0.5643250483905922,0.7097548595183665,-1.1150812861825188
159,-0.40242532928477004,0.5902606696511538,-1.1890959660511533
160,-0.2321678569971838,0.4658509145794636,-1.2557066422722465
161,-0.05863248365353449,0.3364756829761999,-1.3130754276062144
162,0.11320851772759764,0.20228179162892865,-1.35895591306967
163,0.2786319895295729,0.06383500071384357,-1.390747849839461
164,0.43330763971895775,-0.07768590390957647,-1.4056691580314005
165,0.573440111662839,-0.22035424799812536,-1.4010364415242185
166,0.6958993564457994,-0.3614512298872245,-1.3746132192320655
167,0.7983243300326595,-0.49752677805936885,-1.324976964071246
168,0.8791838592301723,-0.6245727059801298,-1.251835540585688
169,0.9377812832114579,-0.7382951733821723,-1.1562317300723193
170,0.9741989790728404,-0.8344616263136451,-1.040591851133686
171,0.9891879219595456,-0.9092855878207959,-0.908594707257534
172,0.984017616407695,-0.9598020858013651,-0.7648730735230488
